Breed,Category,Intelligence-Ranking,Intelligence-Category,Size-Category,Lifetime-Cost($),Purchase-Cost($)
Staffordshire Bull Terrier,Terrier,49,Average,Medium,18772,1145
Standard Schnauzer,Working,18,Excellent,Medium,,855
Sussex Spaniel,Sporting,,,Small,,
Swedish Vallhund,Herding,,,Small,19739,772
Tibetan Mastiff,Working,,,Large,20899,3460
Tibetan Spaniel,Non-Sporting,46,Average,Small,22104,1050
Tibetan Terrier,Non-Sporting,62,Fair,Small,17643,1140
Toy Fox Terrier,Toy,,,Small,,460
Vizsla,Sporting,25,Excellent,Medium,,935
Weimaraner,Sporting,21,Excellent,Large,,562
Welsh Springer Spaniel,Sporting,31,Above-Average,Medium,17492,750
Welsh Terrier,Terrier,53,Average,Small,,843
West Highland White Terrier,Terrier,47,Average,Small,17690,538
Whippet,Hound,51,Average,Medium,18160,915
Wire Fox Terrier,Terrier,51,Average,Small,,668
Wirehaired Pointing Griffon,Sporting,46,Average,Medium,,755
Xoloitzcuintli,Non-Sporting,,,Medium,,717
Yorkshire Terrier,Toy,27,Above-Average,Small,17944,1057
