Petfinder-ID,Name,Size,Gender,Age,Color,Breed
69743648,Tango,Large,Male,Baby,,Australian Cattle Dog
69743652,Buck,Medium,Male,Young,Tricolor,Beagle
69743654,Sherman,Small,Male,Adult,,Parson Russell Terrier
69743657,Beans,Medium,Male,Adult,,Boston Terrier
69743662,Frodo,Large,Male,Senior,Black,Bull Terrier
69743664,Delta Dawn,Large,Female,Young,Golden,Golden Retriever
69743665,Delilah ,Medium,Female,Adult,Black,Bull Terrier
69743667,Rose,Medium,Female,Adult,White,Bulldog
69743672,Cider,Medium,Male,Baby,Black,Parson Russell Terrier
69743705,Kris Kringle - Local Dec 15-17,Medium,Male,Adult,,Bulldog
69743721,Morrison,Small,Male,Young,Yellow,Pug
69743723,Chai,Medium,Male,Baby,Gray,Parson Russell Terrier
69743729,Indigo - Local Dec 15-17,Medium,Female,Adult,,Labrador Retriever
69743730,Star,Medium,Female,Adult,,Pug
69743733,Pico,Small,Male,Young,Yellow,Pug
69743734,Dixie,Medium,Female,Baby,Black,Labrador Retriever
69743742,Molly,Small,Female,Baby,Tricolor,Chihuahua
69743743,Mikey,Small,Male,Baby,Tricolor,Chihuahua
69743745,Roosevelt,Small,Male,Young,White,Poodle
69743746,Lucas,Medium,Male,Young,Tricolor,Labrador Retriever
69743747,Fendi,Medium,Female,Young,White,Beagle
69743748,Norman/Jager,Medium,Male,Young,Yellow,Ibizan Hound
69743754,Taz,Small,Male,Adult,,Toy Fox Terrier
69743760,Colorado - Local Dec 15-17,Large,Female,Adult,,Great Pyrenees
69743763,Pip,Large,Female,Young,,Australian Cattle Dog
69743768,Gordy,Small,Male,Young,,Brussels Griffon
69743770,Vixen,Large,Male,Baby,,Australian Shepherd
69743773,Dancer,Large,Male,Baby,,Australian Shepherd
69743774,Blitzen,Large,Male,Baby,,Australian Shepherd
69743775,Cupid,Large,Male,Baby,Tricolor,Australian Shepherd
69743782,Dave,Small,Male,Young,Yellow,Pug
69743784,Penny,Large,Female,Young,Yellow,Ibizan Hound
69743787,Elmer - Local Dec 15-17,Medium,Male,Adult,,Australian Shepherd
69743791,Norma Jean,Small,Female,Adult,,Miniature Schnauzer
69743793,Jonah - Local Dec 15-17,Medium,Male,Adult,,Australian Shepherd
69743794,Yordan,Small,Male,Young,Yellow,Pug
69743801,Louie,Small,Male,Adult,,Yorkshire Terrier
69743805,Chance ,Large,Male,Baby,Apricot,German Shepherd
69743806,Colt,Medium,Male,Baby,Tricolor,Australian Shepherd
69743807,Koko,Medium,Female,Baby,Black,Parson Russell Terrier
69743808,Dale - Local Dec 15-17,Medium,Male,Baby,,Labrador Retriever
69743810,Liza,Medium,Female,Young,White,Ibizan Hound
69743812,Piper,Medium,Female,Young,,Siberian Husky
69743819,Mia,Small,Female,Baby,Yellow,Pug
69743821,Aspen,Medium,Female,Young,,Australian Shepherd
